AppNum,Handle,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,MainStrucType,IssueDate,EstProjectCost,AppDescription
517050,16497000010,150,NA,NA,VICTOR,ST,WHL BLK,20,1/15/2015 0:00:00,$136000.00,"WRECK COMMERCIAL BUILDINGS INCL. 2509,2513,2523,27 DEKALB"
517240,13996000435,4963,NA,NA,MANCHESTER,AV,NA,20,1/22/2015 0:00:00,$125000.00,WRECK COMMERCIAL BLDG
517484,12674000020,4338,NA,NA,CALIFORNIA,AV,NA,1,1/13/2015 0:00:00,$8200.00,WRECK ONE STORY SINGLE FAMILY BRICK HOUSE (PKG 32-FY15)
517683,13957000182,4001,-67,NA,CHOUTEAU,AV,NA,20,3/27/2015 0:00:00,$217000.00,WRECK COMMERCIAL BUILDING
518415,15361000180,5971,NA,NA,SHULTE,AV,NA,1,3/30/2015 0:00:00,$10000.00,WRECK SINGLE FAMILY BRICK HOUSE
518541,15306000170,1485,-89 R,NA,GOODFELLOW,BLVD,NA,20,1/23/2015 0:00:00,$5000.00,WRECK 1 STORY BRICK MIXED USE BLDG - REAR ONLY
518543,13819090100,5746,-54,NA,DR MARTIN LUTHER KING,DR,NA,20,1/8/2015 0:00:00,$5000.00,WRECK 2 STORY BRICK MIXED USE
518544,14826000715,5755,NA,NA,DR MARTIN LUTHER KING,DR,NA,20,1/23/2015 0:00:00,$3500.00,WRECK 1 STORY BLOCK GAS STATION BLDG(AKA 1512 GOODFELLOW)
518612,14827000125,5722,NA,NA,COTE BRILLIANTE,AV,NA,1,2/12/2015 0:00:00,$4900.00,WRECK 1 STORY SINGLE FAMILY BRICK HOUSE
518614,15200000230,5658,NA,NA,KENNERLY,AV,NA,1,3/20/2015 0:00:00,$5100.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
518616,15243000240,5660,NA,NA,ROOSEVELT,PL,NA,1,3/6/2015 0:00:00,$5300.00,WRECK 1 STORY SINGLE FAMILY FRAME HOUSE
518925,10935000056,2211,NA,NA,LUCAS,AV,NA,20,1/14/2015 0:00:00,$55000.00,WRECK COMMERCIAL BLDG
