county,apiNum,operator,lease,well,type,typeDate,status,statusDate,currentPermit,latitude,longitude,elevation,depth,year
Dekalb                                  ,063-00004,A & W OIL & GAS CO.,PICKETT,1,Dry Hole                                                                        ,01oct1941,Abandoned                                                                       ,01oct1941,,39.75247,-94.43976000000001,988,1066,1941
Jackson                                 ,095-00848,A. B. LEASE,FEE,1,Dry Hole                                                                        ,03apr1930,Abandoned                                                                       ,03apr1930,,39.00749,-94.3047,910,490,1930
McDonald                                ,119-20011,"ABERCROMBIE, PHILLIP",NUNN,1,Dry Hole                                                                        ,03sep1984,Plugged - Approved                                                              ,15sep1984,03sep1984,36.7318,-94.28967,1145,300,1984
McDonald                                ,119-20014,"ABERCROMBIE, PHILLIP",NUNN,2,Dry Hole                                                                        ,28nov1984,Plugged - Approved                                                              ,11sep1985,28nov1984,36.73564,-94.28836,1080,683,1984
McDonald                                ,119-20015,"ABERCROMBIE, PHILLIP","BAKER, W. E.",1,Dry Hole                                                                        ,12dec1984,Plugged - Approved                                                              ,27dec1984,12dec1984,36.67127,-94.29044,1305,447,1984
Jackson                                 ,095-01336,ABERNATHY,FEE,1,Gas(Private Use)                                                                ,14nov1928,Abandoned                                                                       ,14nov1928,,38.94221,-94.54707999999999,970,397,1928
Jackson                                 ,095-01338,ABERNATHY,FEE,3,Dry Hole                                                                        ,26nov1928,Abandoned                                                                       ,26nov1928,,38.93849,-94.54304999999999,964,406,1928
St. Charles                             ,183-00010,"ACHELPOHL, L. A.","ACHELPOHL, L. A.",1,Dry Hole                                                                        ,10oct1920,Abandoned                                                                       ,10oct1920,,38.88921,-90.42075,422,2004,1920
Bates                                   ,013-00095,ACKERMAN,FEE,4,"Gas(Convertional, Commercial)                                                   ",07nov1931,Abandoned                                                                       ,07nov1931,,38.096163,-94.557152,935,424,1931
Bates                                   ,013-00096,ACKERMAN,"HORTON, F. G.",7,Dry Hole                                                                        ,16dec1931,Abandoned                                                                       ,16dec1931,,38.099119,-94.56305999999999,890,400,1931
Bates                                   ,013-00097,ACKERMAN,FEE,2,Water Well                                                                      ,16oct1931,"Abandoned, Unknown Location                                                     ",16oct1931,,38.096756,-94.548101,911,453,1931
Bates                                   ,013-00098,ACKERMAN,FEE,3,Oil                                                                             ,27oct1931,Abandoned                                                                       ,27oct1931,,38.101821,-94.551441,885,379,1931
Bates                                   ,013-00099,ACKERMAN,FEE,6,"Gas(Convertional, Commercial)                                                   ",02dec1931,Abandoned                                                                       ,02dec1931,,38.099132,-94.558705,885,362,1931
Bates                                   ,013-00100,ACKERMAN,FEE,SER4,"Gas(Convertional, Commercial)                                                   ",01oct1931,Abandoned                                                                       ,01oct1931,,38.098928,-94.5536,893,358,1931
Bates                                   ,013-00101,ACKERMAN,FEE,5,"Gas(Convertional, Commercial)                                                   ",13nov1931,Abandoned                                                                       ,13nov1931,,38.095981,-94.55726199999999,887,377,1931
Cass                                    ,037-00241,ACME LIME CO.,ROCK CRUSHER,1,Dry Hole                                                                        ,17oct1928,Abandoned                                                                       ,17oct1928,,38.62924,-94.58862499999999,961,373,1928
Cass                                    ,037-00242,ACME LIME CO.,ROCK CRUSHER,2,"Gas(Convertional, Commercial)                                                   ",25oct1928,Abandoned                                                                       ,25oct1928,,38.634879,-94.588832,946,463,1928
Cass                                    ,037-00243,ACME LIME CO.,ROCK CRUSHER,3,"Gas(Convertional, Commercial)                                                   ",28oct1928,Abandoned                                                                       ,28oct1928,,38.628386,-94.594228,976,388,1928
Cass                                    ,037-00244,ACME LIME CO.,ROCK CRUSHER,5,"Gas(Convertional, Commercial)                                                   ",11nov1928,Abandoned                                                                       ,11nov1928,,38.632971,-94.590857,974,354,1928
Randolph                                ,175-00001,ADAMS EXPLORATION CO.,FEE,2,Dry Hole                                                                        ,01may1965,Abandoned                                                                       ,01may1965,,39.28977,-92.33815,859,670,1965
Randolph                                ,175-00005,ADAMS EXPLORATION CO.,FEE,1,Dry Hole                                                                        ,15feb1965,Abandoned                                                                       ,15feb1965,,39.276234,-92.31406200000001,839,1356,1965
Jackson                                 ,095-00440,ALDRIDGE,FEE,,Oil                                                                             ,06jan1931,Abandoned                                                                       ,06jan1931,,38.91743,-94.367,1028,326,1931
Bollinger                               ,017-00009,"ALFRED, C.",GRINDSTAFF,1,Dry Hole                                                                        ,15nov1943,Abandoned                                                                       ,15nov1943,,37.5273,-89.98233,640,683,1943
Dunklin                                 ,069-00004,ALLEN BROS.,"STEWART, JOHN",1,Dry Hole                                                                        ,01jun1959,Abandoned                                                                       ,01jun1959,,36.55059,-90.04984,418,863,1959
Clinton                                 ,049-00024,"ALLEN, H. J.","MCCULLOCH, G. W.",1,Dry Hole                                                                        ,19nov1930,Abandoned                                                                       ,19nov1930,,39.51278,-94.52764999999999,935,760,1930
Clinton                                 ,049-00025,"ALLEN, H. J.","CARTER, S. L.",1,Oil                                                                             ,15oct1930,Abandoned                                                                       ,15oct1930,,39.49721,-94.52641,958,640,1930
Worth                                   ,227-00005,"ALLENDALE COAL, OIL & GAS CO.","MONDAY, W. A.",,Dry Hole                                                                        ,01jun1912,Abandoned                                                                       ,01jun1912,,40.50314,-94.25581,946,950,1912
Worth                                   ,227-00007,"ALLENDALE COAL, OIL & GAS CO.","CAMPBELL, CHESTER",1,Dry Hole                                                                        ,01jun1912,Abandoned                                                                       ,01jun1912,,40.493164,-94.27829,992,1135,1912
Ray                                     ,177-00014,ALSPAUGH,FEE,,Oil                                                                             ,15jun1958,Abandoned                                                                       ,15jun1958,,39.51855,-94.01561,970,200,1958
Adair                                   ,001-00016,AMAX COAL,MEADOW LARK FARM,CF-120,Stratigraphic Test                                                              ,16jun1976,Abandoned                                                                       ,16jun1976,,40.28555,-92.82034,,188,1976
Adair                                   ,001-00017,AMAX COAL,MEADOW LARK FARM,CF-101,Stratigraphic Test                                                              ,05jun1976,Abandoned                                                                       ,05jun1976,,40.32573,-92.83552,,,1976
Adair                                   ,001-00018,AMAX COAL,MEADOW LARK FARM,CF-012C,Stratigraphic Test                                                              ,11jun1976,Abandoned                                                                       ,11jun1976,,40.30163,-92.84627,968,180,1976
