county,apiNum,operator,lease,well,type,typeDate,status,statusDate,currentPermit,latitude,longitude,elevation,depth,year
Cass                                    ,037-20838,"ACKERSON, MARK EDWARD","ACKERSON, MARK",1,Gas(Private Use)                                                                ,12may2009,Active Well                                                                     ,12may2009,21apr2009,38.65479,-94.44614,1050,286,2009
Cass                                    ,037-20850,"ALTAVISTA ENERGY, INC.",BELDEN,A-1,Oil                                                                             ,01feb2012,Plugged - Approved                                                              ,11may2012,01feb2012,38.76182,-94.57469,1097,679,2012
Cass                                    ,037-20851,"ALTAVISTA ENERGY, INC.",BELDEN,A-2,Oil                                                                             ,01feb2012,Plugged - Approved                                                              ,11may2012,01feb2012,38.7638,-94.57684999999999,1090,779,2012
Cass                                    ,037-20856,"ALTAVISTA ENERGY, INC.",MISEMER,A-2,Stratigraphic Test                                                              ,15feb2012,Plugged - Approved                                                              ,09may2012,15feb2012,38.82249,-94.56339,1095,740,2012
Cass                                    ,037-20940,"ALTAVISTA ENERGY, INC.","EFFERTZ, MICK",A-3,Oil                                                                             ,30may2012,Plugged - Approved                                                              ,05jun2012,30may2012,38.76177,-94.5899,1044,,2012
Cass                                    ,037-20941,"ALTAVISTA ENERGY, INC.","EFFERTZ, MICK",A-4,Oil                                                                             ,30may2012,Plugged - Approved                                                              ,05jun2012,30may2012,38.76206,-94.59451,1072,,2012
Vernon                                  ,217-21959,ARROW OIL SERVICES LLC,MARMATON,1,Stratigraphic Test                                                              ,04sep2007,Plugged - Approved                                                              ,08oct2007,04sep2007,37.841887,-94.60361899999999,820,303,2007
Vernon                                  ,217-21973,ARROW OIL SERVICES LLC,MARMATON,DEL 03,Stratigraphic Test                                                              ,10oct2007,Plugged - Approved                                                              ,08nov2007,10oct2007,37.8419,-94.607,810,345,2007
Vernon                                  ,217-21974,ARROW OIL SERVICES LLC,MARMATON,DEL 04,Stratigraphic Test                                                              ,10oct2007,Plugged - Approved                                                              ,08nov2007,10oct2007,37.83691,-94.60720000000001,873,345,2007
Vernon                                  ,217-21974,ARROW OIL SERVICES LLC,MARMATON,DEL 04,Stratigraphic Test                                                              ,10oct2007,Plugged - Approved                                                              ,08nov2007,10oct2007,37.83691,-94.60720000000001,873,345,2007
Vernon                                  ,217-21975,ARROW OIL SERVICES LLC,MARMATON,DEL 06,Stratigraphic Test                                                              ,10oct2007,Plugged - Approved                                                              ,08nov2007,10oct2007,37.84095,-94.6049,838,325,2007
Vernon                                  ,217-21983,ARROW OIL SERVICES LLC,MARMATON,1P01,Oil                                                                             ,22jan2008,Shut in - Complete,22oct2014,11nov2007,37.842113,-94.604783,807,268,2008
Vernon                                  ,217-21984,ARROW OIL SERVICES LLC,MARMATON,1P02,Oil                                                                             ,21jan2008,Shut in - Complete,22oct2014,11nov2007,37.84187,-94.60489699999999,810,244,2008
Vernon                                  ,217-21985,ARROW OIL SERVICES LLC,MARMATON,1P03,Oil                                                                             ,19jan2008,Shut in - Complete,22oct2014,11nov2007,37.841619,-94.60507200000001,810,244.5,2008
Vernon                                  ,217-21986,ARROW OIL SERVICES LLC,MARMATON,1P04,Oil                                                                             ,21jan2008,Shut in - Complete,22oct2014,11nov2007,37.841387,-94.60490799999999,814,249.5,2008
Vernon                                  ,217-21987,ARROW OIL SERVICES LLC,MARMATON,1P05,Oil                                                                             ,11mar2008,Shut in - Complete,22oct2014,11nov2007,37.841147,-94.605097,815,249.5,2008
Vernon                                  ,217-21988,ARROW OIL SERVICES LLC,MARMATON,1P06,Oil                                                                             ,11mar2008,Shut in - Complete,22oct2014,11nov2007,37.840902,-94.604934,815,249.5,2008
Vernon                                  ,217-21989,ARROW OIL SERVICES LLC,MARMATON,1P07,Oil                                                                             ,21jan2008,Shut in - Complete,22oct2014,11nov2007,37.84215,-94.604344,814,241,2008
Vernon                                  ,217-21990,ARROW OIL SERVICES LLC,MARMATON,1P08,Oil                                                                             ,11mar2008,Shut in - Complete,22oct2014,11nov2007,37.841856,-94.604541,814,249,2008
